id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
8,United Arab Emirates,412.33,0.0000009211,0.0001259880,0.30008072755506665,9770529,71435.38,9,1.98,2,22,578,167287,2025-01-19,2023-06-25 00:00:00,,0,7,9,0,6,2,7
401,British Indian Ocean Territory,0,0.0000000000,0.0000000000,0.29999764681098084,3000,132.7,0,0.0,0,0,None,153707,2024-01-29,,,0,0,0,0,0,0,0
543,Paraguay,112.41,0.0000041166,0.0000721747,0.3098478460396533,7044636,401803.01,29,24.94,25,86,72,167352,2025-01-21,2024-11-12 00:00:00,,2,4,29,0,27,6,20
633,United States of America,388.52,0.0000017274,0.0000599331,0.2904436078042164,328239523,9460550.49,567,232.47,449,41,422,167430,2025-01-23,2023-11-28 00:00:00,,2,639,1088,521,283,74,783
529,Pakistan,365.0,0.0000000092,0.0000022838,0.2844705651262874,216565318,875729.06,2,0.0,0,0,598,162469,2024-09-03,2023-06-05 00:00:00,,0,2,2,0,1,1,2
471,Saint Martin,0,0.0000000000,0.0000000000,0.2999991289476668,38002,49.12,0,0.0,0,0,None,153711,2024-01-29,,,0,0,0,0,0,0,0
505,Nigeria,425.5,0.0000000398,0.0000087566,0.28516022126562096,200963599,913593.56,8,2.0,2,25,607,160865,2024-07-14,2023-05-27 00:00:00,,0,6,8,0,6,1,5
39,Azerbaijan,0,0.0000000000,0.0000000000,0.2984643606269017,10023318,86597.1,0,0.0,0,0,None,157840,2024-04-24,,,0,0,0,0,0,0,0
29,American Samoa,0,0.0000000000,0.0000000000,0.2999978601407766,55312,120.67,0,0.0,0,0,None,153714,2024-01-29,,,0,0,0,0,0,0,0
478,Myanmar,83.0,0.0000000185,0.0000015055,0.2889013138477575,54045420,664249.87,1,1.0,1,100,83,164607,2024-11-02,2024-11-01 00:00:00,,0,0,1,0,1,1,0
167,Brunei,0,0.0000000000,0.0000000000,0.29989919129759984,433285,5684.76,0,0.0,0,0,None,153716,2024-01-29,,,0,0,0,0,0,0,0
641,Venezuela,391.41,0.0000022093,0.0000687499,0.28632247451937176,28515829,916364.49,63,3.78,4,6,781,166047,2024-12-11,2022-12-04 00:00:00,,0,59,63,0,8,2,9
230,Denmark,365.0,0.0000005156,0.0000705684,0.2992461290319932,5818553,42511.96,3,0.0,0,0,803,163824,2024-10-12,2022-11-12 00:00:00,,0,3,3,0,1,0,1
396,Indonesia,388.33,0.0000000887,0.0000127908,0.2734230579532672,270625568,1876351.23,24,9.84,10,41,421,166916,2025-01-08,2023-11-29 00:00:00,,0,14,24,0,8,1,10
9,Afghanistan,0,0.0000000000,0.0000000000,0.2885888661555224,38041754,643491.64,0,0.0,0,0,None,153720,2024-01-29,,,0,0,0,0,0,0,0
383,South Georgia and the Islands,0,0.0000000000,0.0000000000,0.299934804782959,30,3676.46,0,0.0,0,0,None,153721,2024-01-29,,,0,0,0,0,0,0,0
616,Tonga,0,0.0000000000,0.0000000000,0.29999233058991037,104494,432.49,0,0.0,0,0,None,153722,2024-01-29,,,0,0,0,0,0,0,0
360,Faroe Islands,0,0.0000000000,0.0000000000,0.2999815956501618,48678,1037.85,0,0.0,0,0,None,153723,2024-01-29,,,0,0,0,0,0,0,0
585,Saint Helena,0,0.0000000000,0.0000000000,0.29999669720079264,4534,186.25,0,0.0,0,0,None,153724,2024-01-29,,,0,0,0,0,0,0,0
49,Bangladesh,6.0,0.0000000061,0.0000073554,0.2982696696631165,163046161,135953.67,1,1.0,1,100,6,167226,2025-01-18,2025-01-17 00:00:00,,0,0,1,0,1,0,1
365,Grenada,0,0.0000000000,0.0000000000,0.2999949164378589,112003,286.67,0,0.0,0,0,None,153726,2024-01-29,,,0,0,0,0,0,0,0
590,San Marino,0,0.0000000000,0.0000000000,0.2999987868752012,33860,68.41,0,0.0,0,0,None,153727,2024-01-29,,,0,0,0,0,0,0,0
205,Colombia,380.62,0.0000005165,0.0000227674,0.28771156556338906,50339443,1141982.41,26,11.700000000000001,17,45,399,166925,2025-01-08,2023-12-21 00:00:00,,0,20,37,11,18,5,22
487,Mauritania,0,0.0000000000,0.0000000000,0.28154567406621545,4525696,1040668.23,0,0.0,0,0,None,153729,2024-01-29,,,0,0,0,0,0,0,0
232,Dominican Republic,168.0,0.0000039110,0.0008624575,0.3277198032019127,10738958,48698.05,42,42.0,54,100,168,165539,2024-11-27,2024-08-08 00:00:00,,0,0,54,12,53,3,54
429,Laos,366.29,0.0000009764,0.0000305067,0.2979318277430572,7169455,229457.73,7,2.94,3,42,368,167329,2025-01-20,2024-01-21 00:00:00,,1,4,7,0,6,4,1
